"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\Classes.css", "PostCSS", 0, 0, 3, 0, 0, 3
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\CloseButton.css", "PostCSS", 0, 0, 19, 0, 2, 21
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\codeMirror.css", "PostCSS", 0, 0, 417, 0, 96, 513
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\highlighter.css", "PostCSS", 0, 0, 54, 2, 4, 60
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\lookInside.css", "PostCSS", 0, 0, 28, 0, 0, 28
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\style.css", "PostCSS", 0, 0, 361, 39, 47, 447
"c:\Users\julia\Desktop\Coding\Coding-Environment\HTML\LeftSide.html", "HTML", 0, 7, 0, 0, 0, 7
"c:\Users\julia\Desktop\Coding\Coding-Environment\HTML\RightSide.html", "HTML", 0, 29, 0, 0, 0, 29
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\CodeMirror.js", "JavaScript", 46, 0, 0, 7, 9, 62
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\Firebase.js", "JavaScript", 219, 0, 0, 1, 17, 237
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\Jal.js", "JavaScript", 521, 0, 0, 47, 68, 636
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\LoadHTML.js", "JavaScript", 20, 0, 0, 0, 0, 20
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\LoginRegister.js", "JavaScript", 53, 0, 0, 0, 8, 61
"c:\Users\julia\Desktop\Coding\Coding-Environment\JS\listener.js", "JavaScript", 36, 0, 0, 0, 5, 41
"c:\Users\julia\Desktop\Coding\Coding-Environment\index.html", "HTML", 0, 67, 0, 0, 5, 72
"Total", "-", 895, 103, 882, 96, 261, 2237